ID	Position X	Position Y	Position Z
cell_001	794.808	77.272	34.418
cell_002	799.441	78.294	65.626
cell_003	822.481	58.153	22.877
cell_004	801.745	77.51	31.562
cell_005	811.945	78.598	65.111
cell_006	835.022	56.203	24.661
cell_007	847.771	44.918	64.35
cell_008	822.534	76.261	65.959
cell_009	805.289	88.065	47.091
cell_010	840.381	62.733	22.65
cell_011	805.704	90.567	51.362
cell_012	857.518	45.912	60.491
cell_013	822.473	84.211	62.262
cell_014	829.028	89.168	41.681
cell_015	846.279	72.82	66.374
cell_016	840.927	75.867	66.226
cell_017	873.659	53.567	38.744
cell_018	872.282	57.98	32.521
cell_019	854.111	88.245	35.261
cell_020	882.119	57.395	40.287
cell_021	851.878	92.784	62.445
cell_022	891.011	54.904	63.454
cell_023	858.955	87.422	65.704
cell_024	875.301	73.797	27.81
cell_025	883.515	65.556	43.814
cell_026	860.214	95.746	41.714
cell_027	885.718	67.257	29.62
cell_028	888.562	73.281	30.633
cell_029	871.5	98.426	42.428
cell_030	908.548	61.976	63.433
cell_031	909.746	61.524	40.366
cell_032	893.582	95.591	39.448
cell_033	777.498	85.4	52.778
cell_034	803.88	45.756	54.05
cell_035	770.938	82.038	58.285
cell_036	759.625	72.369	66.77
cell_037	787.14	50.305	37.042
cell_038	778.633	46.382	71.609
cell_039	764.63	50.227	73.311
cell_040	715.881	74.927	59.716
cell_041	750.61	42.1	64.755
cell_042	712.278	78.329	43.292
cell_043	745.33	49.986	72.774
cell_044	737.645	49.252	31.104
cell_045	703.997	79.388	43.66
cell_046	709.237	70.588	28.372
cell_047	692.718	72.746	62.425
cell_048	672.371	81.236	50.42
cell_049	683.263	76.166	58.808
cell_050	700.231	44.743	69.422
cell_051	712.318	50.16	71.169
cell_052	657.53	73.06	63.747
cell_053	620.993	81.756	61.249
cell_054	628.754	57.432	79.265
cell_055	649.762	42.65	69.827
cell_056	640.414	45.601	34.909
cell_057	643.576	52.87	75.443
cell_058	592.906	77.316	74.129
cell_059	581.148	81.622	37.779
cell_060	627.459	38.972	62.39
cell_061	575.329	79.579	70.934
cell_062	599.481	67.692	79.564
cell_063	605.26	42.466	55.634
cell_064	595.871	46.511	78.832
cell_065	557.963	83.421	45.636
cell_066	592.255	41.89	63.282
cell_067	532.424	85.492	62.241
cell_068	562.765	45.476	77.767
cell_069	553.299	63.951	81.435
cell_070	529.77	83.704	64.574
cell_071	527.195	82.251	66.122
cell_072	529.603	82.919	35.419
cell_073	529.721	70.63	80.359
cell_074	547.264	43.583	40.238
cell_075	501.964	85.622	54.25
cell_076	511.376	78.3	71.898
cell_077	541.888	40.93	75.761
cell_078	480.893	88.196	44.457
cell_079	513.355	42.176	77.924
cell_080	507.748	42.439	79.667
cell_081	471.78	73.186	78.731
cell_082	490.357	40.63	57.336
cell_083	489.307	44.547	81.711
cell_084	456.728	62.034	84.369
cell_085	464.609	50.826	85.082
cell_086	423.581	84.431	72.219
cell_087	417.564	91.347	37.358
cell_088	440.641	38.751	56.393
cell_089	439.945	53.915	87.662
cell_090	395.466	87.708	68.829
cell_091	373.768	88.46	60.289
cell_092	426.94	36.72	70.542
cell_093	407.678	41.601	85.121
cell_094	407.396	62.33	88.864
cell_095	354.613	89.692	41.913
cell_096	358.839	91.506	58.201
cell_097	335.245	87.616	67.966
cell_098	371.282	45.333	86.228
cell_099	351.112	63.598	87.853
cell_100	315.414	83.927	68.663
cell_101	370.993	39.72	83.496
cell_102	334.383	65.319	84.252
