ID	Position X	Position Y	Position Z
cell_103	300.163	87.23	57.053
cell_104	301.133	76.9	75.159
cell_105	349.543	39.392	62.056
cell_106	345.536	38.321	57.95
cell_107	348.803	38.718	76.84
cell_108	339.157	51.699	86.667
cell_109	313.732	53.12	85.252
cell_110	284.831	88.424	36.627
cell_111	271.32	90.688	29.531
cell_112	266.795	86.231	62.604
cell_113	328.833	38.049	73.489
cell_114	268.309	83.001	65.049
cell_115	287.983	69	74.4
cell_116	272.218	85.168	60.665
cell_117	303.804	56.821	79.077
cell_118	317.114	40.521	78.686
cell_119	263.417	85.152	66.068
cell_120	308.834	43.703	78.501
cell_121	297.354	43.038	77.84
cell_122	284.98	50.602	76.436
cell_123	240.969	93.687	42.761
cell_124	273.184	42.166	65.479
cell_125	265.819	46.232	75.446
cell_126	243.721	62.751	84.099
cell_127	215.579	89.958	23.887
cell_128	189.828	93.311	40.462
cell_129	202.486	93.313	34.748
cell_130	202.455	75.018	76.094
cell_131	218.322	68.004	82.188
cell_132	201.165	79.037	72.171
cell_133	205.486	60.99	82.784
cell_134	215.753	59.674	83.71
cell_135	198.367	75.805	78.581
cell_136	226.542	44.184	83.003
cell_137	229.474	37.962	55.538
cell_138	171.27	87.087	72.832
cell_139	198.587	72.115	80.351
cell_140	190.001	70.052	82.223
cell_141	168.502	83.171	78.006
cell_142	168.381	79.37	80.702
cell_143	180.077	70.877	84.144
cell_144	185.723	51.356	81.928
cell_145	158.802	83.085	79.821
cell_146	157.586	77.51	82.75
cell_147	135.382	88.763	75.55
cell_148	179.541	41.698	69.377
cell_149	146.3	74.997	83.659
cell_150	163.398	45.758	66.05
cell_151	147.995	59.775	84.884
cell_152	98.57	95.164	77.656
cell_153	137.012	62.273	86.339
cell_154	142.25	45.603	68.281
cell_155	97.466	90.617	81.68
cell_156	103.921	73.541	86.989
cell_157	95.961	85.857	84.789
cell_158	81.728	92.554	83.161
cell_159	67.661	91.393	84.215
cell_160	52.764	97.184	82.799
cell_161	92.284	48.622	62.852
cell_162	91.86	49.478	82.232
cell_163	38.17	98.363	83.486
cell_164	43.887	86.904	85.261
cell_165	62.209	55.582	85.943
cell_166	22.244	87.751	84.952
cell_167	4.407	98.353	81.705
cell_168	55.118	50.886	48.112
cell_169	13.876	90.588	83.536
cell_170	136.126	79.772	83.615
cell_171	127.837	84.299	82.072
cell_172	372.036	58.21	87.711
cell_173	378.167	70.357	86.606
cell_174	366.007	68.448	84.439
cell_175	898.991	66.125	34.695
cell_176	895.313	61.513	39.387
