ID	Position X	Position Y	Position Z
cell_001	688.765	119.949	56.818
cell_002	658.656	142.512	47.286
cell_003	674.036	145.902	29.088
cell_004	689.3	135.067	13.268
cell_005	696.607	133.628	14.716
cell_006	675.394	144.271	53.059
cell_007	688.794	138.347	58.96
cell_008	710.642	123.365	31.267
cell_009	681.443	148.187	30.895
cell_010	692.823	144.803	17.938
cell_011	703.345	134.263	14.744
cell_012	706.324	137.345	58.381
cell_013	708.38	130.556	17.064
cell_014	692.056	152.741	33.802
cell_015	697.436	143.416	56.564
cell_016	691.189	149.656	48.81
cell_017	718.895	129.627	53.381
cell_018	725.718	126.885	30.518
cell_019	706.06	157.432	32.725
cell_020	728.888	131.226	27.858
cell_021	729.085	138.698	51.907
cell_022	656.86	127.818	64.436
cell_023	671.464	120.172	22.691
cell_024	666.421	118.045	37.65
cell_025	654.384	124.43	18.885
cell_026	625.719	142.669	36.526
cell_027	631.402	135.299	17.92
cell_028	643.539	117.687	62.492
cell_029	636.071	119.684	61.727
cell_030	623.275	131.053	61.905
cell_031	632.305	115.629	54.984
cell_032	615.095	123.629	63.996
cell_033	624.198	118.638	28.638
cell_034	607.348	123.592	65.313
cell_035	587.264	124.566	30.433
cell_036	593.587	119.987	29.756
cell_037	575.037	127.347	63.841
cell_038	593.078	117.875	64.337
cell_039	570.612	135.5	55.293
cell_040	564.697	130.2	63.507
cell_041	563.813	134.71	57.802
cell_042	579.209	118.304	64.089
cell_043	554.101	132.36	62.245
cell_044	558.696	128.044	64.547
cell_045	563.83	122.766	29.818
cell_046	569.658	118.165	31.218
cell_047	558.299	117.401	67.441
cell_048	536.839	132.711	50.819
cell_049	533.31	134.622	44.466
cell_050	556.591	112.035	44.57
cell_051	533.922	118.942	25.41
cell_052	526.095	124.614	67.067
cell_053	503.929	129.859	57.139
cell_054	483.935	131.804	53.158
cell_055	499.297	118.671	70.928
cell_056	493.832	130.51	53.876
cell_057	503.013	112.069	70.727
cell_058	504.708	113.001	28.578
cell_059	473.015	132.156	39.412
cell_060	479.358	123.869	72.703
cell_061	468.717	131.557	60.635
cell_062	472.347	128.256	30.845
cell_063	483.805	108.926	70.726
cell_064	486.374	112.486	26.614
cell_065	472.492	108.755	70.888
cell_066	453.154	131.499	65.083
cell_067	468.737	123.752	71.288
cell_068	462.053	106.9	70.796
cell_069	449.394	125.715	70.932
cell_070	450.025	110.672	73.73
cell_071	433.142	124.799	30.329
cell_072	454.347	105.028	46.244
cell_073	439.329	105.232	26.486
cell_074	427.635	101.413	55.066
cell_075	410.984	114.491	74.951
cell_076	410.105	104.818	70.569
cell_077	405.556	100.031	69.705
cell_078	392.696	114.192	74.659
cell_079	385.626	123.874	61.513
cell_080	397.241	107.739	27.205
cell_081	388.006	98.106	63.622
cell_082	364.818	120.067	71.068
cell_083	357.397	121.679	49.458
cell_084	351.407	119.36	47.692
cell_085	364.964	101.003	58.487
cell_086	369.257	97.137	69.771
cell_087	363.73	108.631	75.97
cell_088	368.725	93.763	44.492
cell_089	326.595	114.276	54.318
cell_090	346.446	93.795	29.41
cell_091	336.618	96.881	73.302
cell_092	312.316	94.979	70.964
cell_093	302.515	93.768	73.831
cell_094	320.925	88.105	65.327
cell_095	268.643	88.403	78.134
cell_096	293.149	86.613	70.698
cell_097	229.75	103.682	64.642
cell_098	254.699	83.026	79.661
cell_099	240.647	91.783	79.346
cell_100	235.215	84.415	44.561
cell_101	195.68	87.485	76.788
cell_102	196.937	74.967	78.42
cell_103	176.03	72.445	79.473
cell_104	182.446	68.589	71.965
cell_105	159.566	70.394	81.122
cell_106	143.447	64.004	76.815
cell_107	231.87	82.991	78.384
cell_108	223.242	77.002	75.701
cell_109	288.985	96.215	76.594
cell_110	339.089	105.608	75.004
cell_111	349.76	99.263	73.767
cell_112	353.293	94.177	67.036
cell_113	379.039	114.077	76.052
cell_114	378.146	107.194	75.559
cell_115	435.253	120.897	72.476
cell_116	428.291	119.479	72.385
cell_117	618.737	140.386	42.664
cell_118	648.08	140.925	49.532
cell_119	678.56	121.111	57.342
cell_120	672.881	125.708	63.065
