ID	Position X	Position Y	Position Z
cell_153	137.301	188.842	70.525
cell_154	150.024	169.762	75.631
cell_155	116.248	201.279	26.758
cell_156	117.626	208.518	47.252
cell_157	108.372	199.3	63.016
cell_158	113.792	207.505	40.092
cell_159	110.495	206.079	54.012
cell_160	92.3	217.077	37.902
cell_161	107.165	204.396	56.064
cell_162	82.246	225.864	34.521
cell_163	114.805	199.198	21.12
cell_164	112.037	196.09	67.693
cell_165	99.29	206.497	23.554
cell_166	107.981	207.243	32.914
cell_167	138.718	166.576	73.559
cell_168	75.358	221.967	43.684
cell_169	82.078	216.799	23.272
cell_170	92.943	209.367	52.427
cell_171	107.386	191.737	71.136
cell_172	129.36	170.075	74.173
cell_173	88.327	207.197	20.268
cell_174	80.206	212.666	51.522
cell_175	126.059	164.636	70.074
cell_176	56.072	227.002	9.227
cell_177	67.907	224.875	18.626
cell_178	121.65	168.618	53.499
cell_179	58.863	217.377	44.98
cell_180	103.136	173.588	25.62
cell_181	54.656	221.175	46.087
cell_182	58.51	218.562	13.252
cell_183	51.162	222.365	43.904
cell_184	79.573	193.871	67.838
cell_185	64.679	204.602	17.027
cell_186	67.153	190.369	66.992
cell_187	83.744	177.831	42.188
cell_188	78.528	181.802	31.256
cell_189	48.819	203.361	56.985
cell_190	67.086	183.694	39.878
cell_191	64.482	181.492	64.69
cell_192	57.209	191.094	33.15
cell_193	47.391	203.32	20.351
cell_194	51.536	194.954	32.477
cell_195	50.324	188.614	48.128
cell_196	42.69	193.479	41.378
cell_197	22.772	207.19	44.687
cell_198	36.713	206.48	52.02
cell_199	31.627	200.004	48.003
cell_200	101.644	172.292	61.463
cell_201	103.386	170.52	75.285
cell_202	90.561	178.192	73.126
cell_203	231.106	174.863	62.469
cell_204	220.958	176.471	54.653
cell_205	226.505	177.37	38.13
cell_206	622.39	114.057	57.441
cell_207	620.44	114.382	38.698
cell_208	748.962	52.785	90.099
cell_209	780.357	58.769	95.48
cell_210	773.202	57.848	94.577
cell_211	807.029	63.57	94.01
cell_212	797.233	60.477	95.789
cell_213	845.363	63.381	94.802
