ID	Position X	Position Y	Position Z
cell_001	918.598	85.54	75.195
cell_002	902.466	89.066	65.438
cell_003	910.846	87.243	35.556
cell_004	905.535	62.061	94.447
cell_005	893.196	84.11	72.843
cell_006	879.69	81.312	80.025
cell_007	893.232	64.794	92.918
cell_008	864.867	70.617	89.694
cell_009	859.409	85.774	80.554
cell_010	849.277	87.999	77.303
cell_011	918.669	8.046	63.823
cell_012	844.779	71.591	87.089
cell_013	913.312	9.594	85.868
cell_014	837.225	86.297	31.922
cell_015	883.838	20.988	88.54
cell_016	890.547	14.389	86.098
cell_017	854.874	59.087	95.135
cell_018	882.237	36.205	95.912
cell_019	803.15	77.812	23.025
cell_020	824.213	64.697	93.842
cell_021	864.419	13.519	80.589
cell_022	795.882	82.544	24.762
cell_023	800.936	72.394	91.938
cell_024	853.731	28.684	93.974
cell_025	841.339	20.043	80.162
cell_026	838.617	26.512	94.606
cell_027	788.324	82.553	23.824
cell_028	790.006	68.107	90.568
cell_029	765.015	96.478	40.534
cell_030	747.447	100.189	49.615
cell_031	808.599	36.447	93.222
cell_032	793.556	40.516	92.759
cell_033	757.612	76.259	90.309
cell_034	799.017	31.636	73.08
cell_035	799.061	34.588	50.75
cell_036	715.973	101.607	36.832
cell_037	741.841	82.089	86.141
cell_038	722.037	90.753	20.703
cell_039	757.306	59.61	94.003
cell_040	741.949	63.197	92.776
cell_041	709.998	102.8	37.251
cell_042	771.467	41.041	85.026
cell_043	724.133	76.724	92.86
cell_044	702.895	100.43	28.594
cell_045	709.428	97.451	26.526
cell_046	702.065	97.585	25.645
cell_047	715.883	78.883	92.865
cell_048	740.201	50	62.914
cell_049	691.337	95.73	77.948
cell_050	744.256	44.37	70.591
cell_051	685.338	101.291	23.337
cell_052	673.666	104.458	58.782
cell_053	710.721	67.68	94.927
cell_054	721.248	50.234	69.601
cell_055	673.515	99.785	74.707
cell_056	716.026	54.78	89.784
cell_057	704.525	51.417	86.075
cell_058	684.258	69.142	95.774
cell_059	657.019	83.651	96.063
cell_060	672.378	67.2	96.574
cell_061	683.775	52.953	70.627
cell_062	678.895	56.074	62.427
cell_063	626.818	101.294	90.35
cell_064	609.689	116.859	56.644
cell_065	665.106	59.461	91.228
cell_066	579.441	120.906	58.242
cell_067	646.556	64.224	93.896
cell_068	630.557	66.357	94.326
cell_069	597.726	105.142	87.395
cell_070	638.686	62.104	89.054
cell_071	633.523	59.678	76.065
cell_072	567.394	121.212	68.207
cell_073	590.738	113.189	78.852
cell_074	577.43	108.503	88.925
cell_075	560.372	119.946	39.236
cell_076	554.897	121.33	60.957
cell_077	543.772	119.122	85.964
cell_078	556.769	111.702	87.6
cell_079	521.227	127.612	78.105
cell_080	542.231	120.869	47.227
cell_081	514.114	131.911	64.281
cell_082	534.87	109.413	43.035
cell_083	501.821	127.756	84.663
cell_084	515.798	120.51	88.755
cell_085	471.19	144.162	60.971
cell_086	511.548	84.296	80.012
cell_087	459.497	131.968	86.072
cell_088	450.686	147.089	52.189
cell_089	461.57	136.825	83.337
cell_090	441.894	148.186	62.12
cell_091	457.251	128.382	87.825
cell_092	488.875	85.124	75.514
cell_093	443.474	133.953	85.126
cell_094	434.029	120.081	92.221
cell_095	412.417	139.744	85.122
cell_096	421.068	149.607	71.153
cell_097	473.144	87.648	67.301
cell_098	404.438	151.9	72.082
cell_099	397.404	158.136	43.676
cell_100	433.803	101.466	87.812
cell_101	377.876	148.358	84.184
cell_102	395.802	141.731	87.438
cell_103	415.811	100.759	73.035
cell_104	433.615	95.603	65.087
cell_105	421.206	107.016	88.38
cell_106	407.098	110.752	87.534
cell_107	375.097	121.977	90.897
cell_108	317.851	164.87	69.012
cell_109	374.091	113.474	82.858
cell_110	381.653	106.875	58.683
cell_111	332.927	158.613	75.867
cell_112	368.011	109.101	64.704
cell_113	312.616	166.548	43.136
cell_114	320.39	144.496	89.68
cell_115	306.766	167.218	38.581
cell_116	350.77	123.712	90.43
cell_117	301.64	157.726	81.379
cell_118	342.671	117.299	83.288
cell_119	283.733	169.062	65.391
cell_120	333.671	118.113	82.213
cell_121	305.062	146.128	89.032
cell_122	325.006	128.241	88.668
cell_123	311.458	124	82.186
cell_124	257.607	173.074	58.704
cell_125	294.758	142.632	88.584
cell_126	279.688	143.85	86.08
cell_127	247.627	175.467	50.578
cell_128	243.325	175.482	47.626
cell_129	246.12	168.28	72.599
cell_130	267.689	135.42	79.263
cell_131	264.969	132.154	59.67
cell_132	261.659	144.685	84.271
cell_133	257.475	133.916	62.204
cell_134	252.221	144.85	83.443
cell_135	211.166	176.002	63.908
cell_136	224.27	163.021	78.058
cell_137	194.699	182.923	48.614
cell_138	205.287	181.336	54.228
cell_139	187.559	185.637	64.049
cell_140	184.766	185.6	46.651
cell_141	228.281	143.768	32.467
cell_142	188.153	178.86	68.635
cell_143	214.811	144.046	65.582
cell_144	175.704	184.748	34.18
cell_145	159.589	188.112	66.483
cell_146	194.245	153.8	73.072
cell_147	146.664	195.612	40.95
cell_148	140.455	197.609	58.65
cell_149	174.732	168.721	78.329
cell_150	162.529	177.721	75.411
cell_151	163.961	171.212	78.035
cell_152	128.819	197.573	35.611
