ID	Position X	Position Y	Position Z
cell_001	316.679	109.607	96.091
cell_002	327.357	91.939	49.446
cell_003	334.093	98.454	90.838
cell_004	340.295	88.82	50.993
cell_005	325.002	114.475	69.744
cell_006	364.715	92.179	91.625
cell_007	332.576	116.057	89.058
cell_008	337.747	111.816	64.11
cell_009	334.616	116.635	72.549
cell_010	341.071	108.908	92.674
cell_011	352.186	109.126	97.873
cell_012	360.246	92.802	49.998
cell_013	349.313	100.529	94.881
cell_014	365.883	105.384	99.419
cell_015	353.628	116.796	89.499
cell_016	399.11	104.84	100.791
cell_017	383.402	114.199	78.428
cell_018	432.887	105.503	103.721
cell_019	458.186	81.64	99.826
cell_020	475.379	81.399	102.237
cell_021	475.999	98.059	95.733
cell_022	508.226	76.103	99.719
cell_023	519.132	76.251	98.13
cell_024	532.683	74.785	95.615
cell_025	547.38	73.473	96.096
cell_026	526.458	96.522	93.665
cell_027	555.268	71.679	84.299
cell_028	569.955	71.688	91.788
cell_029	578.467	71.959	93.92
cell_030	584.873	71.89	90.538
cell_031	615.492	65.168	84.753
cell_032	632.405	62.636	77.463
cell_033	319.639	101.175	93.414
cell_034	310.01	87.787	76.524
cell_035	298.534	87.897	46.698
cell_036	282.533	95.23	48.071
cell_037	281.371	111.371	84.893
cell_038	287.54	99.414	82.267
cell_039	258.986	113.33	75.959
cell_040	269.756	89.9	80.931
cell_041	246.581	108.089	78.697
cell_042	245.287	100.442	50.704
cell_043	254.411	94.014	49.927
cell_044	238.399	103.88	51.375
cell_045	200.911	106.699	52.765
cell_046	229.41	85.354	77.681
cell_047	181.027	105.905	50.833
cell_048	213.708	81.895	72.623
cell_049	203.378	91.463	44.83
cell_050	198.328	88.968	74.09
cell_051	185.822	88.416	45.313
cell_052	176.97	92.115	45.702
cell_053	150.699	108.349	66.077
cell_054	152.358	98.471	70.717
cell_055	148.519	92.203	47.896
cell_056	121.517	109.267	64.551
cell_057	132.838	95.328	47.732
cell_058	111.596	91.154	64.951
cell_059	124.434	84.943	45.877
cell_060	108.098	87.939	44.827
cell_061	79.695	111.386	46.825
cell_062	76.707	96.273	46.21
cell_063	96.043	88.321	65.532
cell_064	68.776	108.833	44.001
cell_065	74.299	89.062	65.31
cell_066	88.595	73.555	44.544
cell_067	85.704	82.402	43.787
cell_068	62.646	82.17	41.672
cell_069	58.029	91.922	65.713
cell_070	52.048	81.966	41.583
cell_071	30.617	88.337	57.853
cell_072	35.379	82.381	48.388
cell_073	97.523	108.501	48.061
cell_074	89.335	107.831	46.897
cell_075	60.572	81.995	65.665
cell_076	429.251	110.234	95.801
cell_077	376.967	105.916	100.76
cell_078	386.02	103.819	100.551
cell_079	390.728	86.626	93.232
cell_080	382.565	94.088	98.103
cell_081	395.127	94.105	99.64
cell_082	420.492	90.058	96.017
cell_083	108.91	107.346	63.162
cell_084	108.697	109.491	51.455
cell_085	54.271	100.609	63.939
cell_086	45.333	104.194	61.489
cell_087	168.221	94.609	71.032
cell_088	165.873	88.851	74.117
cell_089	443.993	84.959	100.514
cell_090	441.722	93.078	105.503
cell_091	212.919	102.845	76.619
cell_092	209.594	98.21	66.692
cell_093	206.539	95.673	76.175
cell_094	414.409	99.474	101.281
cell_095	407.366	90.496	98.805
cell_096	415.604	93.884	88.065
cell_097	409.094	97.37	91.155
