ID	Position X	Position Y	Position Z
cell_001	404.476	65.941	37.925
cell_002	412.447	61.772	39.152
cell_003	382.986	80.633	49.722
cell_004	447.15	41.649	59.254
cell_005	459.102	32.512	43.335
cell_006	449.977	47.181	37.021
cell_007	461.015	43.554	58.87
cell_008	437.248	72.095	45.561
cell_009	463.619	49.011	34.811
cell_010	445.031	60.295	39.31
cell_011	454.052	57.765	59.502
cell_012	475.213	52.049	33.088
cell_013	490.797	34.099	38.535
cell_014	504.268	35.122	34.551
cell_015	467.875	69.984	51.599
cell_016	498.523	34.501	57.165
cell_017	477.347	68.209	51.686
cell_018	516.435	29.271	55.678
cell_019	522.823	30.16	38.163
cell_020	491.398	60.398	56.179
cell_021	492.349	65.865	45.286
cell_022	527.565	28.014	54.761
cell_023	500.637	61.313	41.541
cell_024	509.939	58.578	38.838
cell_025	537.241	29.964	53.776
cell_026	519.373	54.884	34.248
cell_027	541.948	39.701	25.922
cell_028	535.817	47.329	26.159
cell_029	555.736	34.754	30.586
cell_030	538.861	55.264	31.018
cell_031	556.26	54.353	31.876
cell_032	567.899	35.647	56.075
cell_033	568.7	34.354	41.585
cell_034	565.995	62.745	34.277
cell_035	419.109	49.194	59.706
cell_036	407.252	39.374	41.024
cell_037	396.656	61.121	36.036
cell_038	399.379	58.951	59.55
cell_039	384.183	61.711	35.714
cell_040	412.18	37.259	51.731
cell_041	362.473	81.083	56.565
cell_042	384.724	53.138	36.026
cell_043	319.825	80.594	65.966
cell_044	364.449	49.184	36.589
cell_045	340.5	61.07	60.255
cell_046	335	70.518	34.122
cell_047	357.893	52.788	35.572
cell_048	363.774	48.898	59.699
cell_049	354.352	44.729	43.64
cell_050	345.059	46.935	41.77
cell_051	336.312	46.823	59.64
cell_052	286.839	86.31	33.485
cell_053	309.135	61.526	34.771
cell_054	293.848	63.445	73.739
cell_055	285.401	57.816	70.419
cell_056	283.963	62.429	33.506
cell_057	277.254	64.128	74.998
cell_058	266.839	65.008	74.57
cell_059	252.612	70.939	74.691
cell_060	256.856	63.959	73.276
cell_061	225.078	87.403	73.544
cell_062	220.919	91.481	59.383
cell_063	249.086	62.414	43.018
cell_064	218.513	69.286	75.666
cell_065	160.998	83.091	75.763
cell_066	187.416	68.358	72.649
cell_067	192.617	65.92	67.688
cell_068	160.222	89.894	70.73
cell_069	179.637	66.112	66.99
cell_070	127.359	93.669	57.263
cell_071	147.722	67.813	65.767
cell_072	147.398	77.971	76.092
cell_073	119.935	85.698	75.841
cell_074	136.162	70.979	71.369
cell_075	106.929	90.477	73.47
cell_076	114.226	77.114	76.461
cell_077	101.981	80.973	75.064
cell_078	105.434	73.933	63.845
cell_079	63.192	92.615	70.297
cell_080	60.205	83.97	77.024
cell_081	61.466	72.808	65.136
cell_082	47.25	73.372	62.341
cell_083	40.168	77.896	74.013
cell_084	236.972	68.432	73.769
cell_085	234.749	76.825	74.847
cell_086	378.031	72.026	36.888
cell_087	370.609	67.326	35.194
cell_088	430.303	58.371	40.182
cell_089	424.553	64.038	40.535
cell_090	436.365	65.363	41.465
cell_091	467.806	35.667	37.141
cell_092	538.166	64.254	43.442
cell_093	529.99	62.926	54.719
cell_094	206.469	72.99	73.609
cell_095	203.591	66.437	64.28
cell_096	84.004	79.882	74.724
cell_097	74.937	76.926	69.522
cell_098	93.578	76.089	74.26
